entry,name,signature,raw_c,native_source,status,notes
10001000,std::bad_alloc::bad_alloc,"undefined __thiscall bad_alloc(bad_alloc * this, char * param_1)",raw-c/10001000_std_bad_alloc_bad_alloc.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001030,FUN_10001030,undefined FUN_10001030(void),raw-c/10001030_FUN_10001030.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001050,FUN_10001050,undefined FUN_10001050(void),raw-c/10001050_FUN_10001050.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: scalar deleting destructor for STL/CRT/support object; documented body only calls destructor and operator delete on flag bit, with no GGPO protocol logic"
10001080,FUN_10001080,undefined FUN_10001080(void),raw-c/10001080_FUN_10001080.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: trivial no-op/getter/setter/return helper with no GGPO protocol behavior; covered by native compiler/runtime code generation
10001090,FUN_10001090,undefined FUN_10001090(void),raw-c/10001090_FUN_10001090.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100010a0,length,undefined length(void),raw-c/100010a0_length.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100010c0,FID_conflict:_Move_s,undefined FID_conflict:_Move_s(void),raw-c/100010c0_FID_conflict__Move_s.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100010e0,FID_conflict:_Move_s,undefined FID_conflict:_Move_s(void),raw-c/100010e0_FID_conflict__Move_s.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001100,FUN_10001100,undefined FUN_10001100(void),raw-c/10001100_FUN_10001100.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001110,FUN_10001110,undefined FUN_10001110(void),raw-c/10001110_FUN_10001110.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001120,FUN_10001120,undefined FUN_10001120(void),raw-c/10001120_FUN_10001120.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001140,FUN_10001140,undefined FUN_10001140(void),raw-c/10001140_FUN_10001140.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001170,FUN_10001170,undefined FUN_10001170(void),raw-c/10001170_FUN_10001170.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001190,FID_conflict:runtime_error,undefined FID_conflict:runtime_error(void),raw-c/10001190_FID_conflict_runtime_error.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001200,FID_conflict:~logic_error,undefined FID_conflict:~logic_error(void),raw-c/10001200_FID_conflict_logic_error.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001230,what,undefined what(void),raw-c/10001230_what.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001250,FUN_10001250,undefined FUN_10001250(void),raw-c/10001250_FUN_10001250.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: scalar deleting destructor for STL/CRT/support object; documented body only calls destructor and operator delete on flag bit, with no GGPO protocol logic"
10001280,FID_conflict:length_error,undefined FID_conflict:length_error(void),raw-c/10001280_FID_conflict_length_error.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100012b0,FUN_100012b0,undefined FUN_100012b0(void),raw-c/100012b0_FUN_100012b0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100012d0,FUN_100012d0,undefined FUN_100012d0(void),raw-c/100012d0_FUN_100012d0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: scalar deleting destructor for STL/CRT/support object; documented body only calls destructor and operator delete on flag bit, with no GGPO protocol logic"
10001300,FID_conflict:runtime_error,undefined FID_conflict:runtime_error(void),raw-c/10001300_FID_conflict_runtime_error.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001370,FUN_10001370,undefined FUN_10001370(void),raw-c/10001370_FUN_10001370.c,Sources/FightcadeFBNeo/src/dep/ggponet-native/src/common_leafs.cpp,native_converted,Exact leaf: returns true
10001380,FUN_10001380,undefined FUN_10001380(void),raw-c/10001380_FUN_10001380.c,Sources/FightcadeFBNeo/src/dep/ggponet-native/src/logging.cpp,native_converted,"Native logging leaf: calls quark logv helper and returns true, matching documented vtable log slot behavior"
100013a0,FUN_100013a0,undefined FUN_100013a0(void),raw-c/100013a0_FUN_100013a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100013c0,FUN_100013c0,undefined FUN_100013c0(void),raw-c/100013c0_FUN_100013c0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100013e0,FUN_100013e0,undefined FUN_100013e0(void),raw-c/100013e0_FUN_100013e0.c,Sources/FightcadeFBNeo/src/dep/ggponet-native/src/common_leafs.cpp,native_converted,Exact leaf: returns void
100013f0,FUN_100013f0,undefined FUN_100013f0(void),raw-c/100013f0_FUN_100013f0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001420,FUN_10001420,undefined FUN_10001420(void),raw-c/10001420_FUN_10001420.c,Sources/FightcadeFBNeo/src/dep/ggponet-native/src/client_backend.cpp; Sources/FightcadeFBNeo/src/dep/ggponet-native/src/session.hpp,native_converted,GGPOBackend scalar deleting destructor slot: native destroy hook performs backend teardown and delete equivalent to destructor plus flag delete
10001450,FUN_10001450,undefined FUN_10001450(void),raw-c/10001450_FUN_10001450.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001470,FUN_10001470,undefined FUN_10001470(void),raw-c/10001470_FUN_10001470.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001490,FUN_10001490,undefined FUN_10001490(void),raw-c/10001490_FUN_10001490.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100014b0,FUN_100014b0,undefined FUN_100014b0(void),raw-c/100014b0_FUN_100014b0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100014d0,FUN_100014d0,undefined FUN_100014d0(void),raw-c/100014d0_FUN_100014d0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: scalar deleting destructor for STL/CRT/support object; documented body only calls destructor and operator delete on flag bit, with no GGPO protocol logic"
10001500,basic_string<>,undefined basic_string<>(void),raw-c/10001500_basic_string_.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001540,FUN_10001540,undefined FUN_10001540(void),raw-c/10001540_FUN_10001540.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001580,FUN_10001580,undefined FUN_10001580(void),raw-c/10001580_FUN_10001580.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100015a0,FUN_100015a0,undefined FUN_100015a0(void),raw-c/100015a0_FUN_100015a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100015c0,FUN_100015c0,undefined FUN_100015c0(void),raw-c/100015c0_FUN_100015c0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100015e0,FUN_100015e0,undefined FUN_100015e0(void),raw-c/100015e0_FUN_100015e0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001660,FUN_10001660,undefined FUN_10001660(void),raw-c/10001660_FUN_10001660.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001680,FUN_10001680,undefined FUN_10001680(void),raw-c/10001680_FUN_10001680.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100016a0,FUN_100016a0,undefined FUN_100016a0(void),raw-c/100016a0_FUN_100016a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100016e0,FUN_100016e0,undefined FUN_100016e0(void),raw-c/100016e0_FUN_100016e0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001720,FUN_10001720,undefined FUN_10001720(void),raw-c/10001720_FUN_10001720.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100017c0,FUN_100017c0,undefined FUN_100017c0(void),raw-c/100017c0_FUN_100017c0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100017e0,"std::basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_>::assign","basic_string<char,struct_std::char_traits<char>,class_std::_DebugHeapAllocator<char>_> * __thiscall assign(basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_> * this, basic_string<char,struct_std::char_traits<char>,class_std::_DebugHeapAllocator<char>_> * param_1, uint param_2, uint param_3)",raw-c/100017e0_std_basic_string_char_std_char_traits_char_std__DebugHeapAllocator_char___assign.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100018a0,FID_conflict:assign,undefined FID_conflict:assign(void),raw-c/100018a0_FID_conflict_assign.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100018d0,FUN_100018d0,undefined FUN_100018d0(void),raw-c/100018d0_FUN_100018d0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001950,FID_conflict:_Myptr,undefined FID_conflict:_Myptr(void),raw-c/10001950_FID_conflict__Myptr.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001980,_String_val<>,undefined _String_val<>(void),raw-c/10001980__String_val_.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100019a0,FUN_100019a0,undefined FUN_100019a0(void),raw-c/100019a0_FUN_100019a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100019c0,FUN_100019c0,undefined FUN_100019c0(void),raw-c/100019c0_FUN_100019c0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100019d0,FUN_100019d0,undefined FUN_100019d0(void),raw-c/100019d0_FUN_100019d0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: final audit helper row directly evidenced as MSVC STL/CRT/compiler/exception/zlib/no-op support in docs/ggponet; native libc++/libSystem/compiler runtime supplies equivalent behavior and no GGPO protocol logic is present
10001a00,FUN_10001a00,undefined FUN_10001a00(void),raw-c/10001a00_FUN_10001a00.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001a80,FUN_10001a80,undefined FUN_10001a80(void),raw-c/10001a80_FUN_10001a80.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001b50,FUN_10001b50,undefined FUN_10001b50(void),raw-c/10001b50_FUN_10001b50.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001be0,Catch_All@10001be0,undefined Catch_All@10001be0(void),raw-c/10001be0_Catch_All@10001be0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001c25,FUN_10001c25,undefined FUN_10001c25(void),raw-c/10001c25_FUN_10001c25.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001c50,FUN_10001c50,undefined FUN_10001c50(void),raw-c/10001c50_FUN_10001c50.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001cc0,FUN_10001cc0,undefined FUN_10001cc0(void),raw-c/10001cc0_FUN_10001cc0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001d00,FUN_10001d00,undefined FUN_10001d00(void),raw-c/10001d00_FUN_10001d00.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10001d20,"std::basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_>::assign","basic_string<char,struct_std::char_traits<char>,class_std::_DebugHeapAllocator<char>_> * __thiscall assign(basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_> * this, char * param_1, uint param_2)",raw-c/10001d20_std_basic_string_char_std_char_traits_char_std__DebugHeapAllocator_char___assign.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001db0,"std::basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_>::erase","basic_string<char,struct_std::char_traits<char>,class_std::_DebugHeapAllocator<char>_> * __thiscall erase(basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_> * this, uint param_1, uint param_2)",raw-c/10001db0_std_basic_string_char_std_char_traits_char_std__DebugHeapAllocator_char___erase.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001e50,"std::basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_>::_Eos","void __thiscall _Eos(basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_> * this, uint param_1)",raw-c/10001e50_std_basic_string_char_std_char_traits_char_std__DebugHeapAllocator_char____Eos.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001e90,"std::basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_>::_Grow","bool __thiscall _Grow(basic_string<char,std::char_traits<char>,std::_DebugHeapAllocator<char>_> * this, uint param_1, bool param_2)",raw-c/10001e90_std_basic_string_char_std_char_traits_char_std__DebugHeapAllocator_char____Grow.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001f30,FUN_10001f30,undefined FUN_10001f30(void),raw-c/10001f30_FUN_10001f30.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10001fe5,Catch_All@10001fe5,undefined Catch_All@10001fe5(void),raw-c/10001fe5_Catch_All@10001fe5.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002048,FUN_10002048,undefined FUN_10002048(void),raw-c/10002048_FUN_10002048.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002070,FUN_10002070,undefined FUN_10002070(void),raw-c/10002070_FUN_10002070.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002110,FUN_10002110,undefined FUN_10002110(void),raw-c/10002110_FUN_10002110.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002150,FUN_10002150,undefined FUN_10002150(void),raw-c/10002150_FUN_10002150.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10002170,FUN_10002170,undefined FUN_10002170(void),raw-c/10002170_FUN_10002170.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
100021d0,FUN_100021d0,undefined FUN_100021d0(void),raw-c/100021d0_FUN_100021d0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10002210,FUN_10002210,undefined FUN_10002210(void),raw-c/10002210_FUN_10002210.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10002230,FID_conflict:invalid_argument,undefined FID_conflict:invalid_argument(void),raw-c/10002230_FID_conflict_invalid_argument.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002260,FID_conflict:max_size,undefined FID_conflict:max_size(void),raw-c/10002260_FID_conflict_max_size.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100022a0,FUN_100022a0,undefined FUN_100022a0(void),raw-c/100022a0_FUN_100022a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002358,Catch_All@10002358,undefined Catch_All@10002358(void),raw-c/10002358_Catch_All@10002358.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
1000237f,Catch_All@1000237f,undefined Catch_All@1000237f(void),raw-c/1000237f_Catch_All@1000237f.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100023a1,FUN_100023a1,undefined FUN_100023a1(void),raw-c/100023a1_FUN_100023a1.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100023b5,FUN_100023b5,undefined FUN_100023b5(void),raw-c/100023b5_FUN_100023b5.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002420,FID_conflict:_Inside,undefined FID_conflict:_Inside(void),raw-c/10002420_FID_conflict__Inside.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002460,FUN_10002460,undefined FUN_10002460(void),raw-c/10002460_FUN_10002460.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,"Native runtime mapping: anonymous helper audited in final pass; docs show no export name, no Fightcade protocol strings, and only library/helper reachability from already mapped STL/CRT/compiler support graph"
10002480,FUN_10002480,undefined FUN_10002480(void),raw-c/10002480_FUN_10002480.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: final audit helper row directly evidenced as MSVC STL/CRT/compiler/exception/zlib/no-op support in docs/ggponet; native libc++/libSystem/compiler runtime supplies equivalent behavior and no GGPO protocol logic is present
100024a0,FUN_100024a0,undefined FUN_100024a0(void),raw-c/100024a0_FUN_100024a0.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100024e0,std::allocator<char>::allocate,"char * __thiscall allocate(allocator<char> * this, uint param_1)",raw-c/100024e0_std_allocator_char_allocate.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: clearly named MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002500,std::allocator<char>::max_size,uint __thiscall max_size(allocator<char> * this),raw-c/10002500_std_allocator_char_max_size.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
10002530,FUN_10002530,undefined FUN_10002530(void),raw-c/10002530_FUN_10002530.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: directly evidenced MSVC STL/CRT/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
100025e0,max_size,undefined max_size(void),raw-c/100025e0_max_size.c,docs/ggponet/native-runtime-mappings.md,native-runtime-mapped,Native runtime mapping: MSVC CRT/STL/compiler support helper supplied by libc++/libSystem/compiler runtime; no GGPO protocol logic
